Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
134	Chema	es ESP	DF	Nottingham	27	1992	6.9	0.00	0.29	0.00	0.0	0.29	0.00	0.00		0.00	0.00	Matches
135	James Chester	wls WAL	DF	Stoke City	30	1989	13.7	0.00	0.66	0.22	33.3	0.65	0.22	0.00	0.00	0.00	0.00	Matches
136	Cyrus Christie	ie IRL	DF	Fulham	26	1992	16.0	0.06	1.13	0.31	27.8	1.12	0.31	0.06	0.20	0.00	0.00	Matches
137	Jack Clarke	eng ENG	FW,MF	Leeds United	18	2000	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
138	Jack Clarke	eng ENG	FW,MF	QPR	18	2000	1.6	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
139	Josh Clarke	eng ENG	DF,MF	Brentford	24	1995	0.0	0	0	0		0.00	0.00			0	0	Matches
140	Matthew Clarke	eng ENG	DF	Derby County	22	1996	33.5	0.03	0.45	0.15	33.3	0.45	0.15	0.07	0.20	0.00	0.00	Matches
141	Tom Clarke	eng ENG	DF	Preston	31	1987	6.7	0.00	0.15	0.15	100.0	0.15	0.15	0.00	0.00	0.00	0.00	Matches
142	Jake Clarke-Salter	eng ENG	DF	Birmingham City	21	1997	17.9	0.06	0.28	0.11	40.0	0.28	0.11	0.20	0.50	0.00	0.00	Matches
143	Adam Clayton	eng ENG	MF	Middlesbrough	30	1989	19.1	0.00	0.26	0.00	0.0	0.26	0.00	0.00		0.00	0.00	Matches
144	Sam Clucas	eng ENG	MF	Stoke City	28	1990	43.3	0.25	1.55	0.58	37.3	1.55	0.58	0.16	0.44	0.00	0.00	Matches
145	Joel Coleman	eng ENG	GK	Huddersfield	23	1995	2.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
146	Maxime Colin	fr FRA	DF	Birmingham City	27	1991	44.0	0.02	0.34	0.02	6.7	0.34	0.02	0.07	1.00	0.00	0.00	Matches
147	Bradley Collins	eng ENG	GK	Barnsley	22	1997	19.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
148	James Collins	ie IRL	FW	Luton Town	28	1990	43.8	0.32	1.76	0.59	33.8	1.76	0.59	0.10	0.31	0.14	0.16	Matches
149	Nathan Collins	ie IRL	DF	Stoke City	18	2001	5.9	0.00	0.34	0.00	0.0	0.34	0.00	0.00		0.00	0.00	Matches
150	Jake Cooper	eng ENG	DF	Millwall	24	1995	46.0	0.07	0.89	0.26	29.3	0.89	0.26	0.07	0.25	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
151	Liam Cooper	sct SCO	DF	Leeds United	27	1991	34.7	0.06	0.63	0.12	18.2	0.63	0.12	0.09	0.50	0.00	0.00	Matches
152	Harry Cornick	eng ENG	FW,MF	Luton Town	24	1995	34.3	0.26	1.78	0.73	41.0	1.78	0.73	0.15	0.36	0.00	0.00	Matches
153	Hélder Costa	ao ANG	MF	Leeds United	25	1994	32.8	0.12	1.95	0.58	29.7	1.95	0.58	0.06	0.21	0.00	0.00	Matches
154	Nuno da Costa	cv CPV	FW,MF	Nottingham	28	1991	4.9	0.00	1.02	0.41	40.0	1.03	0.41	0.00	0.00	0.00	0.00	Matches
155	Hayden Coulson	eng ENG	MF,DF	Middlesbrough	21	1998	20.9	0.05	1.05	0.19	18.2	1.05	0.19	0.05	0.25	0.00	0.00	Matches
