Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
205	Demeaco Duhaney	eng ENG	DF	Huddersfield	20	1998	3.9	0	0	0	0	4	0	6	2	3			0	Matches
206	Chey Dunkley	eng ENG	DF	Wigan Athletic	27	1992	22.3	8	2	2	31	11	0	0	19	10			0	Matches
207	Nathan Dyer	eng ENG	MF	Swansea City	31	1987	6.0	0	0	0	2	13	1	12	4	5			0	Matches
208	Tom Eaves	eng ENG	FW	Hull City	27	1992	23.6	4	0	0	82	19	33	13	0	16			0	Matches
209	Rarmani Edmonds-Green	eng ENG	DF	Huddersfield	20	1999	1.0	0	0	0	0	0	0	1	2	2			0	Matches
210	Kyle Edwards	eng ENG	MF	West Brom	21	1998	10.3	2	0	0	10	12	2	34	7	6			0	Matches
211	Tom Edwards	eng ENG	DF,MF	Stoke City	20	1999	12.5	0	0	0	14	6	0	71	14	9			1	Matches
212	Ovie Ejaria	eng ENG	MF	Reading	21	1997	34.5	3	0	0	24	65	0	17	43	27			0	Matches
213	Callum Elder	au AUS	DF	Hull City	24	1995	27.8	3	0	0	34	13	3	122	19	38			0	Matches
214	Niclas Eliasson	se SWE	MF	Bristol City	23	1995	22.2	2	0	0	24	58	7	242	16	25			0	Matches
215	Tommy Elphick	eng ENG	DF	Huddersfield	31	1987	13.2	2	0	0	15	7	1	0	23	5			0	Matches
216	Bright Enobakhare	ng NGA	FW,MF	Wigan Athletic	21	1998	0.6	0	0	0	0	1	0	0	1	1			0	Matches
217	Oghenekaro Etebo	ng NGA	MF,FW	Stoke City	23	1995	7.9	1	0	0	3	22	0	6	8	8			0	Matches
218	Neil Etheridge	ph PHI	GK	Cardiff City	29	1990	15.6	0	0	0	1	3	0	0	0	1			0	Matches
