Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
106	Malachi Boateng	eng ENG	MF	Plymouth Argyle	22	2002	7	198	28	4.8	2.2	0.45	90	0.45	2.73	18	2.73	0.57	0.45	2.73	-2.27	-2.27	-1.54	Matches
107	Eric Bocat	fr FRA	DF	Stoke City	25	1999	30	2,041	68	49.3	22.7	1.01	84	0.75	0.31	17	0.13	1.17	0.84	1.28	-0.44	-0.44	-0.14	Matches
108	Jayden Bogle	eng ENG	DF	Leeds United	24	2000	44	3,824	87	92.4	42.5	1.04	87	0.75	0.00		0.00	2.14	1.93	0.66	1.27	+1.27	-1.86	Matches
109	Jonathan Bond	eng ENG	GK	Watford	31	1993	9	798	89	19.3	8.9	0.90	90	0.90	0.11	78	3.26	1.11	1.12	1.57	-0.45	-0.45	-0.34	Matches
110	Jack Bonham	ie IRL	GK	Stoke City	30	1993	0					0		0	0		42							Matches
111	Neto Borges	br BRA	DF	Middlesbrough	27	1996	35	2,891	83	69.8	32.1	1.06	84	0.78	0.03	22	0.09	1.51	1.50	1.15	0.34	+0.34	+0.56	Matches
112	Raphael Borges Rodrigues	au AUS	MF	Coventry City	20	2003	3	10	3	0.2	0.1	0.00		0.00	30.0	3	140.0	1.33	0.00	0.00	0.00	0.00	-0.13	Matches
113	Ollie Bostock	wls WAL	FW	West Brom	17	2007	0					0		0	0		4							Matches
114	Ibane Bowat	sct SCO	DF	Portsmouth	21	2002	0					0		0	0		1							Matches
115	Josh Bowler	eng ENG	MF,FW	Preston	25	1999	10	456	46	11.0	5.1	1.18	62	0.00	0.78	22	1.96	1.00	0.78	1.96	-1.18	-1.18	-1.06	Matches
116	Josh Bowler	eng ENG	MF	Luton Town	25	1999	8	150	19	3.6	1.7	0.00		0.00	4.71	19	2.94	0.63	1.18	0.59	0.59	+0.60	+1.16	Matches
117	Harry Boyes	eng ENG	DF,MF	Sheffield United	22	2001	0					0		0	0		2							Matches
118	Sonny Bradley	eng ENG	DF	Derby County	32	1991	7	303	43	7.3	3.4	0.88	65	0.29	1.18	27	4.71	1.43	0.59	1.18	-0.59	-0.59	-0.45	Matches
119	Tom Bradshaw	wls WAL	FW	Oxford United	32	1992	11	359	33	8.7	4.0	1.00	64	0.00	1.75	15	0.00	1.36	0.25	1.00	-0.75	-0.75	-0.44	Matches
120	Tom Bradshaw	wls WAL	FW	Millwall	32	1992	11	450	41	10.9	5.0	0.80	74	0.00	1.40	22	0.60	0.45	1.20	1.20	0.00	0.00	+0.05	Matches
121	Robbie Brady	ie IRL	MF	Preston	32	1992	29	1,638	56	39.6	18.2	0.93	77	0.38	0.66	28	0.11	1.00	1.21	1.43	-0.22	-0.22	+0.03	Matches
122	Cohen Bramall	eng ENG	DF	Portsmouth	28	1996	12	460	38	11.1	5.1	0.78	84	0.39	1.57	16	0.98	1.42	0.78	0.78	0.00	0.00	+0.32	Matches
123	Cameron Brannagan	eng ENG	MF	Oxford United	28	1996	33	2,900	88	70.0	32.2	1.02	88	0.90	0.00		0.00	1.36	1.15	1.40	-0.25	-0.25	+0.33	Matches
124	Ben Brereton	cl CHI	MF	Sheffield United	25	1999	17	984	58	23.8	10.9	1.19	70	0.09	0.37	20	0.00	1.72	1.38	1.01	0.37	+0.37	-0.29	Matches
125	Rhian Brewster	eng ENG	MF,FW	Sheffield United	24	2000	36	1,558	43	37.6	17.3	0.92	72	0.17	1.16	20	0.29	2.00	1.33	0.75	0.58	+0.58	-0.01	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
126	AJ Bridge	eng ENG	MF	Norwich City	19	2005	0					0		0	0		2							Matches
127	Callum Brittain	eng ENG	DF	Blackburn	26	1998	33	2,659	81	64.2	29.5	1.02	87	0.88	0.10	19	0.03	1.48	1.32	1.12	0.20	+0.20	+0.26	Matches
128	Harvey Broad		DF	Coventry City			0					0		0	0		1							Matches
129	Andre Brooks	jm JAM	MF	Sheffield United	20	2003	22	951	43	23.0	10.6	0.94	70	0.09	1.13	21	1.70	2.00	1.04	0.75	0.28	+0.28	-0.39	Matches
130	Nathan Broome	eng ENG	GK	Swansea City	22	2002	0					0		0	0		3							Matches
131	Ciaron Brown	nir NIR	DF	Oxford United	26	1998	41	3,611	88	87.2	40.1	1.02	88	1.00	0.00		0.00	1.10	1.02	1.45	-0.42	-0.42	-0.59	Matches
132	Dajaune Brown	jm JAM	FW	Derby County	18	2005	15	387	26	9.3	4.3	0.70	61	0.00	2.79	17	3.02	0.87	1.40	1.16	0.23	+0.23	+0.45	Matches
133	Jacob Brown	sct SCO	MF,FW	Luton Town	26	1998	29	1,217	42	29.4	13.5	0.81	66	0.07	1.33	28	0.07	0.97	1.04	1.48	-0.44	-0.44	+0.11	Matches
134	Alan Browne	ie IRL	MF,DF	Sunderland	29	1995	22	1,212	55	29.3	13.5	0.96	83	0.59	0.67	15	0.30	1.78	1.19	0.67	0.52	+0.52	+0.30	Matches
135	Josh Brownhill	eng ENG	MF	Burnley	28	1995	42	3,474	83	83.9	38.6	1.01	87	0.70	0.08	23	0.00	2.14	1.55	0.41	1.14	+1.14	-0.08	Matches
136	Joe Bryan	eng ENG	DF	Millwall	30	1993	39	3,275	84	79.1	36.4	1.02	88	0.93	0.05	4	0.03	1.44	1.02	1.07	-0.05	-0.05	-0.05	Matches
137	Solomon Brynn	eng ENG	GK	Middlesbrough	23	2000	6	509	85	12.3	5.7	1.05	85	0.88	0.00		2.81	1.83	2.81	1.58	1.23	+1.24	+1.21	Matches
138	John Buckley	eng ENG	MF	Blackburn	24	1999	23	855	37	20.7	9.5	0.84	81	0.21	1.58	14	2.00	1.26	1.26	1.37	-0.11	-0.11	-0.27	Matches
139	Mustapha Bundu	sl SLE	FW,MF	Plymouth Argyle	27	1997	37	2,302	62	55.6	25.6	1.05	77	0.35	0.39	23	0.20	0.97	1.33	1.56	-0.23	-0.23	+1.28	Matches
140	Wouter Burger	nl NED	MF	Stoke City	23	2001	39	3,002	77	72.5	33.4	1.11	79	0.54	0.06	32	0.06	1.21	0.96	1.29	-0.33	-0.33	+0.14	Matches
141	Delano Burgzorg	sr SUR	MF	Middlesbrough	25	1998	42	2,187	52	52.8	24.3	0.95	81	0.37	0.78	18	0.12	1.36	1.56	1.32	0.25	+0.25	+0.15	Matches
142	Reece Burke	eng ENG	DF,MF	Luton Town	27	1996	17	852	50	20.6	9.5	1.05	70	0.53	0.74	21	0.32	1.71	1.68	1.37	0.32	+0.32	+1.06	Matches
143	Finley Burns	eng ENG	DF,MF	Hull City	21	2003	9	311	35	7.5	3.5	1.14	73	0.29	1.43	4	5.14	1.67	0.57	1.14	-0.57	-0.58	-0.39	Matches
144	Jack Burroughs	sct SCO	DF,MF	Coventry City	23	2001	0					0		0	0		4							Matches
