Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
90	Jacob Brown	sct SCO	FW	Stoke City	23	1998	45	38	3,249	36.1	0.36	0.11	0.47	0.36	0.00	0.00	0.22	0.00	0.36	0.11	0.47	0.36	0.47	Matches
91	James Brown	ie IRL	DF	Blackburn	23	1998	1	1	90	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
92	Reece Brown	eng ENG	MF	Peterborough	25	1996	8	5	453	5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	Matches
93	Alan Browne	ie IRL	MF	Preston	26	1995	39	35	3,210	35.7	0.11	0.14	0.25	0.11	0.00	0.00	0.17	0.03	0.11	0.14	0.25	0.11	0.25	Matches
94	Joe Bryan	eng ENG	DF	Fulham	27	1993	15	13	1,045	11.6	0.00	0.09	0.09	0.00	0.00	0.00	0.26	0.00	0.00	0.09	0.09	0.00	0.09	Matches
95	Kean Bryan	eng ENG	DF	West Brom	24	1996	3	1	49	0.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
96	Lee Buchanan	eng ENG	DF	Derby County	20	2001	30	24	2,220	24.7	0.00	0.04	0.04	0.00	0.00	0.00	0.16	0.00	0.00	0.04	0.04	0.00	0.04	Matches
97	John Buckley	eng ENG	MF,FW	Blackburn	21	1999	42	39	3,133	34.8	0.09	0.20	0.29	0.09	0.00	0.00	0.37	0.00	0.09	0.20	0.29	0.09	0.29	Matches
98	Tyler Burey	eng ENG	FW,MF	Millwall	19	2001	15	6	618	6.9	0.29	0.00	0.29	0.29	0.00	0.00	0.29	0.00	0.29	0.00	0.29	0.29	0.29	Matches
99	Oliver Burke	sct SCO	FW,MF	Millwall	24	1997	14	10	806	9.0	0.22	0.11	0.33	0.22	0.00	0.00	0.00	0.00	0.22	0.11	0.33	0.22	0.33	Matches
100	Oliver Burke	sct SCO	MF,FW	Sheffield United	24	1997	3	2	170	1.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Reece Burke	eng ENG	DF	Luton Town	24	1996	27	25	2,115	23.5	0.04	0.00	0.04	0.04	0.00	0.00	0.21	0.04	0.04	0.00	0.04	0.04	0.04	Matches
102	Finley Burns	eng ENG	DF	Swansea City	18	2003	3	3	209	2.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
