Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
74	Tyler Blackett	eng ENG	DF	Rotherham	28	1994	3.5	0.00	0.00	0.00	1.14	0.86	0.00	0.57	0.57	1.71			0.00	Matches
75	Adrian Blake	eng ENG	FW,MF	Watford	17	2005	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
76	Jayden Bogle	eng ENG	MF	Sheffield United	22	2000	15.4	0.45	0.00	0.00	1.30	1.04	0.26	2.73	1.04	1.23			0.00	Matches
77	Marc Bola	eng ENG	DF,MF	Middlesbrough	24	1997	11.3	0.27	0.00	0.00	1.24	0.35	0.09	1.33	1.42	0.88			0.00	Matches
78	Tolaji Bola	eng ENG	DF	Rotherham	23	1999	0.4	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00			0.00	Matches
79	Jack Bonham	ie IRL	GK	Stoke City	28	1993	22.5	0.04	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00			0.00	Matches
80	Macauley Bonne	zw ZIM	DF,FW	QPR	26	1995	0.7	0.00	0.00	0.00	0.00	2.86	1.43	0.00	0.00	1.43			0.00	Matches
81	Dean Bouzanis	au AUS	GK	Reading	31	1990	4.7	0.21	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00			0.00	Matches
82	Josh Bowler	eng ENG	MF,FW	Blackpool	23	1999	19.4	0.00	0.00	0.00	1.03	1.29	0.00	1.03	0.36	0.57			0.00	Matches
83	Coniah Boyce-Clarke	jm JAM	GK	Reading	19	2003	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
84	Caolan Boyd-Munce	nir NIR	MF	Middlesbrough	22	2000	0.0	0	0	0	0	0	0	0	0	0			0	Matches
85	Will Boyle	eng ENG	DF	Huddersfield	26	1995	9.0	0.44	0.11	0.11	1.56	0.67	0.00	0.00	0.89	0.78			0.00	Matches
86	Sonny Bradley	eng ENG	DF	Luton Town	30	1991	13.6	0.22	0.00	0.00	0.66	0.88	0.07	0.07	0.88	0.44			0.00	Matches
87	Tom Bradshaw	wls WAL	FW	Millwall	30	1992	33.9	0.15	0.00	0.00	1.15	1.12	0.71	1.00	0.12	0.18			0.03	Matches
88	Robbie Brady	ie IRL	MF	Preston	30	1992	23.3	0.34	0.04	0.04	2.32	0.56	0.04	8.50	1.24	1.72			0.00	Matches
89	Cohen Bramall	eng ENG	MF,DF	Rotherham	26	1996	28.6	0.31	0.03	0.03	1.08	0.38	0.03	4.65	1.05	1.22			0.00	Matches
90	James Bree	eng ENG	MF,DF	Luton Town	24	1997	27.0	0.11	0.00	0.00	0.89	0.48	0.00	8.11	0.96	0.63			0.00	Matches
91	Ben Brereton	cl CHI	MF,FW	Blackburn	23	1999	38.4	0.13	0.00	0.00	0.76	0.76	0.81	0.73	0.29	0.39			0.00	Matches
92	Rhian Brewster	eng ENG	FW	Sheffield United	22	2000	6.3	0.16	0.00	0.00	0.48	1.43	0.32	0.63	0.32	0.95			0.00	Matches
93	Liam Bridcutt	sct SCO	MF	Blackpool	33	1989	2.0	0.00	0.00	0.00	1.00	0.50	0.00	0.00	2.00	1.00			0.00	Matches
94	Callum Brittain	eng ENG	DF,MF	Blackburn	24	1998	15.8	0.13	0.00	0.00	0.82	0.44	0.00	1.84	0.82	2.41			0.00	Matches
95	Nathan Broadhead	wls WAL	FW,MF	Wigan Athletic	24	1998	11.9	0.00	0.00	0.00	0.67	0.50	0.50	0.42	0.17	0.59			0.00	Matches
96	Andre Brooks	jm JAM	MF	Sheffield United	18	2003	0.0	0	0	0	0	0	0	0	0	0			0	Matches
97	Jacob Brown	sct SCO	MF,FW	Stoke City	24	1998	30.8	0.29	0.00	0.00	1.82	1.92	0.58	1.79	0.36	1.04			0.00	Matches
98	Alan Browne	ie IRL	MF	Preston	27	1995	29.2	0.17	0.00	0.00	1.06	1.10	0.03	2.47	0.75	1.27			0.00	Matches
99	Josh Brownhill	eng ENG	MF	Burnley	26	1995	39.7	0.23	0.00	0.00	1.66	0.53	0.10	3.53	0.91	1.46			0.00	Matches
100	John Buckley	eng ENG	MF	Blackburn	22	1999	16.3	0.31	0.06	0.00	1.47	1.78	0.00	1.84	0.92	1.72			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
101	Tyler Burey	eng ENG	MF,FW	Millwall	20	2001	10.2	0.39	0.00	0.00	0.88	1.47	0.78	2.25	0.39	0.49			0.00	Matches
102	Oliver Burke	sct SCO	MF	Millwall	25	1997	8.5	0.12	0.00	0.00	0.94	0.35	0.12	2.47	0.47	0.35			0.00	Matches
103	Reece Burke	eng ENG	DF	Luton Town	25	1996	14.5	0.21	0.00	0.00	1.31	0.41	0.00	0.97	0.83	0.83			0.00	Matches
104	Jack Burroughs	sct SCO	MF	Coventry City	21	2001	4.9	0.20	0.00	0.00	0.61	1.63	0.00	3.67	0.82	1.84			0.00	Matches
